"In the #KeepItOn Report Shattered dreams and lost opportunities: a year in the fight to #KeepItOn, the count of duration days of a shutdown event include both the start date and the end date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,start_date,end_date ,duration,Info_source ,news_link ,continent,country ,State/India ,geo_scope,area_name ,ordered_by ,decision_maker,shutdown_type_new,affected_network,full or service-based,Facebook_affected,Twitter_affected,WhatsApp_affected,Instagram_affected,Telegram_affected,other_service_details (specify) ,SMS_affected,phone_call_affected ,telcos_involved ,gov_ack,official_just,other_just_details,off_statement,actual_cause,other_cause_details,election,violence,hr_abuse_reported,users_notified,users_affected/targetted ,legal_justif,legal_method ,telco_resp,telco_ ack,econ_impact,event ,an_link ,notes
29,3/15/2020,3/15/2020,0,Other,http://jkhome.nic.in/19(TSTS)20200001.pdf,Asia ,India,Jammu and Kashmir,Level 2,Anantnag and Kulgam districts,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/19(TSTS)20200001.pdf,Political instability,security force operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 19(TSTS) of 2020.,,Unknown,,,,
30,3/16/2020,3/19/2020,3,News media article,https://www.telegraphindia.com/north-east/mobile-internet-shut-after-manipur-clash/cid/1754384; https://www.medianama.com/2020/03/223-internet-shutdown-manipur/,Asia ,India,Manipur,Level 2,"Bishnupur,Chandel,Churachandpur,Imphal East,Imphal West,Senapati,Tamenglong,Thoubal,Ukhrul in the state of Manipur",Local government,"H. Gyan Prakash, Special Secretary (Home)",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Fake news/ Hate speech/ Incendiary content/ Promoting violence,"“social media has also become a handy tool for rumor mongers and is being used extensively to incite the general public”... “Unless the use of internet/mobile data is curbed temporarily, there is likelihood of serious repercussions in the law and order and the possibilities of communal violence in the State.”",https://www.medianama.com/wp-content/uploads/Internet-shutdown-manipur-March2020.png,Communal violence,The Manipur government has ordered shutdown of mobile Internet services in the state for three days from Monday to prevent misuse of social media to spread hate video messages and images following clashes between two villages over a land dispute.,No,Yes, Unknown,No,,Yes,"Due to inter-village communal violence in the Chassad village in Kamjong district, the and the spread of false rumors in the internet, H. Gyan Prakash, Special Secretary (Home) ordered the suspension of all mobile services for 3 days in the territorial jurisdiction of the state of Manipur.",,Unknown,,,,
31,3/21/2020,3/23/2020,2,News media article,https://www.accessnow.org/une-promesse-non-tenue-de-keepiton-la-guinee-coupe-lacces-a-internet-et-bloque-les-medias-sociaux-le-jour-du-referendum/; https://www.boursorama.com/actualite-economique/actualites/guinee-un-dimanche-de-vote-sous-les-radars-42997421240c357e84817a591eaff321,Africa ,Guinea,,Level 3,National ,Unknown,,"Shutdown, Throttle","Broadband, Mobile","Full network, Service-based",Yes,Unknown,Yes,Unknown,Unknown,,Unknown,Unknown,"Guinea: Cellcom, Guinea: MTN, Guinea: Orange (Sonatel), Guinea Bissau: MTN, Guinea Bissau: Orange (Sonatel)",No,Unknown,,,Elections,Shutdowns happened during a referendum on the constitution ,Yes,Yes,Yes,No,,,,,,,,,
32,4/4/2020,4/5/2020,1,Other,http://jkhome.nic.in/23(TSTS)of2020.pdf; http://jkhome.nic.in/24(TSTS)of2020.pdf; https://www.tribuneindia.com/news/j-k/4-hizb-militants-killed-in-kulgam-gunfight-65664,Asia ,India,Jammu and Kashmir,Level 1,"Kulgam district, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during security forces operation.,http://jkhome.nic.in/23(TSTS)of2020.pdf; ,Political instability,Security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 23(TSTS) of 2020; 24(TSTS) of 2020.,,Unknown,,,,
33,4/7/2020,4/8/2020,1,Other,http://jkhome.nic.in/25(TSTS)2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Baramulla, in Jammu and Kashmir",Local government,Inspector General of Kashmir,Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,,http://jkhome.nic.in/25(TSTS)2020.pdf,Political instability,Security forces operation,No,Yes,Unknown,No,,Yes,"It described that the order was issued by a IGP Kashmir authorized officer, in order to prevent ""the likelihood of misuse of data services by anti-national elements to disturb law and order situation"".",,Unknown,,,,
34,4/10/2020,4/10/2020,0,Other,http://jkhome.nic.in/26(TSTS)2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Kupwara district, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Likelihood of misuse of data services - uploading inciting/objectionable materials ,http://jkhome.nic.in/26(TSTS)2020.pdf,Political instability,,No,Unknown,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 26(TSTS) of 2020.,,Unknown,,,,
35,4/11/2020,4/11/2020,0,Other,http://jkhome.nic.in/27(TSTS)2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Kulgam, in Jammu and Kashmir",Local government,IGP Kashmir ,Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,,,Political instability,Security forces operation,No,Unknown,Unknown,No,,Yes,"The IGP, Kashmir zone, ordered shut down of 2g services in Kulgam on 11.03.2020 as a precautionary measure to prevent mobilization of locals and law and order situation.",,Unknown,,,,
36,4/17/2020,4/17/2020,0,Other,http://jkhome.nic.in/29(TSTS)2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Shopian district, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/29(TSTS)2020.pdf,Political instability,Security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 29(TSTS) of 2020.,,Unknown,,,,
37,4/21/2020,4/22/2020,1,Other,http://jkhome.nic.in/30(TSTS)2020.pdf; http://jkhome.nic.in/31(TSTS)2020.pdf ,Asia ,India,Jammu and Kashmir,Level 1,Shopian and Anantnag in Jammu and Kashmir,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during security forces operation.,http://jkhome.nic.in/30(TSTS)2020.pdf; http://jkhome.nic.in/31(TSTS)2020.pdf; ,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 30(TSTS) of 2020.; Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 31(TSTS) of 2020.,,,,,,
38,4/25/2020,4/25/2020,0,News media article,http://jkhome.nic.in/32(TSTS)2020.pdf,Asia ,India,Jammu and Kashmir,Level 2,"Kulgam district and Awantipora, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during security forces operation.,http://jkhome.nic.in/32(TSTS)2020.pdf,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 32(TSTS) of 2020.,,Unknown,,,,
39,4/26/2020,4/26/2020,0,News media article,https://zeenews.india.com/india/encounter-breaks-out-between-security-forces-and-terrorists-in-jammu-and-kashmirs-kulgam-2279361.html; http://jkhome.nic.in/33(TSTS)2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Kulgam, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,"""As a precautionary measure, the authorities have suspended mobile internet in the district."" https://zeenews.india.com/india/encounter-breaks-out-between-security-forces-and-terrorists-in-jammu-and-kashmirs-kulgam-2279361.html",http://jkhome.nic.in/33(TSTS)2020.pdf,Political instability,Security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 33(TSTS) of 2020.,,Unknown,,,,
40,4/27/2020,4/27/2020,0,Other,http://jkhome.nic.in/35(TSTS)of%202020.pdf,Asia ,India,Jammu and Kashmir,Level 1,Anantnag,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/35(TSTS)of%202020.pdf,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 35(TSTS) of 2020.,,Unknown,,,,
41,4/28/2020,4/30/2020,2,Other,http://jkhome.nic.in/38(TSTS)of2020.pdf; http://jkhome.nic.in/37(TSTS)of2020.pdf; http://jkhome.nic.in/36(TSTS)of2020.pdf,Asia ,India,Jammu and Kashmir,Level 2,"Shopian, Anantnag, and Pulwama districts, in Jammu and Kashmir ",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/38(TSTS)of2020.pdf ,Other,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 38(TSTS) of 2020; 37(TSTS) of 2020; 36(TSTS) of 2020.,,Unknown,,,,
42,5/2/2020,5/3/2020,1,News media article,https://www.indiatoday.in/india/story/jammu-kashmir-kupwara-handwara-encounter-operation-indian-army-millitants-jawans-martyred-1673820-2020-05-03; http://jkhome.nic.in/42(TSTS)of2020.pdf; http://jkhome.nic.in/41(TSTS)of2020.pdf ,Asia ,India,Jammu and Kashmir,Level 1,"Kupwara, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/42(TSTS)of2020.pdf,Political instability,Security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 42(TSTS) of 2020; 41(TSTS) of 2020.,,Unknown,,,,
43,5/2/2020,5/2/2020,0,Other,http://jkhome.nic.in/39(TSTS)of2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Pulwama district, in Jammu and Kashmir ",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during security forces operation.,http://jkhome.nic.in/39(TSTS)of2020.pdf,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 39(TSTS) of 2020.,,Unknown,,,,
44,5/5/2020,5/5/2020,0,Other,http://jkhome.nic.in/43(TSTS)of2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Kupwara, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/43(TSTS)of2020.pdf,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 43(TSTS) of 2020.,,Unknown,,,,
45,5/5/2020,5/5/2020,0,Other,http://jkhome.nic.in/44(TSTS)of2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"District of Ramban, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Fake news/ Hate speech/ Incendiary content/ Promoting violence,prevent the spread of provocation material on social media,http://jkhome.nic.in/44(TSTS)of2020.pdf,Political instability,Prevent the spread of material on social media that might create a law and order situation,No,Unknown,Unknown,No,,Yes,"Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent spread of ""provocation material on social media"" that might have created a law and order situation. The order was later confirmed by the Principal Secretary of Government. Order - 44(TSTS) of 2020.",,Unknown,,,,
46,5/6/2020,5/7/2020,1,News media article,http://jkhome.nic.in/45(TSTS)of2020.pdf; ,Asia ,India,Jammu and Kashmir,Level 1,Awantipora ,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,Yes,Yes,,Yes,Precautionary measure,Prevent a law and order situation after security forces operation., http://jkhome.nic.in/45(TSTS)of2020.pdf,Political instability,Security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 45(TSTS) of 2020;,,Unknown,,,,
47,5/6/2020,5/13/2020,,News media article,"http://jkhome.nic.in/46(TSTS)of2020.pdf
http://jkhome.nic.in/47(TSTS)of2020.pdf  
http://jkhome.nic.in/48(TSTS)of%202020.pdf http://jkhome.nic.in/49(TSTS)of2020.pdf",Asia ,India,Jammu and Kashmir,Level 1,Kashmir Valley ,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,Yes,Yes,,Yes,Precautionary measure,Prevent a law and order situation after security forces operation., http://jkhome.nic.in/46(TSTS)of2020.pdf,Political instability,Security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 46(TSTS) of 2020; 47(TSTS) of 2020; 48(TSTS) of 2020; 49(TSTS) of 2020.,,Unknown,,,,
48,5/12/2020,5/17/2020,5,News media article,https://www.medianama.com/2020/05/223-mobile-data-shut-down-hooghly-bengal/; https://www.timesnownews.com/india/article/violence-erupts-over-movement-in-containment-zones-in-wb-governor-says-state-cannot-afford-communal-virus/591082,Asia ,India,West Bengal,Level 1,"Chandannagar and Serampore subdivision of Hoogly, in the state of West Bengal",Local government,District Magistrate,Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Public safety/ Quell unrest / Restore public order,,,Communal violence, The restrictions reportedly came after communal clashes broke out in those areas when some people crossed over containment zone limits to use a public toilet.,No,Yes,Unknown,No,,Unknown,,,Unknown,,,,
49,5/12/2020,5/27/2020,15,Other,http://jkhome.nic.in/48(TSTS)of%202020.pdf,Asia ,India,,Level 2,"All districts from Jammu and Kashmir, but for Ganderbal and Udhampur G",Local government,Principal Secretary to the Government Home Department of Jammu and Kashmir,"Shutdown, Throttle",Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,"Preempt terrorist activity, recruiting, and disruption of public order during the election process to the 280 District Development Council Constituencies and bye-eye elections to more than 13400 vacancies in PRIs/URBs.",http://jkhome.nic.in/48(TSTS)of%202020.pdf,Political instability,,NO,No,Unknown,No,,Yes,"Yes. The Principal secretary to the government justified the shutdown as an attempt to preempt terrorist activity, recruiting, and disruption of public order during the election process to the 280 District Development Council Constituencies and bye-eye elections to more than 13400 vacancies in PRIs/URBs.",,Unknown,,,,
50,5/13/2020,5/14/2020,1,News media article,https://apnews.com/article/d5771b32be4a13581282e58e6f67465e; http://jkhome.nic.in/50(TSTS)of2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,Badgam,Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,likelihood of misuse of data services to mobilize locals and disturb law and order,http://jkhome.nic.in/50(TSTS)of2020.pdf,Protests,Authorities shut down mobile internet service due to a protest on the shooting of a civilian by security forces (India’s Central Reserve Police Force) in a checkpoint.,No,Yes,Yes,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation. The order was later confirmed by the Principal Secretary of Government. Order - 50(TSTS) of 2020.,,Unknown,,,,
51,5/14/2020,5/16/2020,2,News media article,https://www.dabangasudan.org/en/all-news/article/precautionary-mobile-internet-slowdown-in-sudan-s-kassala,Africa ,Sudan,,Level 1,Kassala ,Unknown,,Shutdown,Mobile,Full network,No,No,No,No,No,,Unknown,No,"Sudan: MTN, Sudan: Sudani (Sudatel), Sudan: Zain",Unknown,Other,Precautionary measure ,,Communal violence,Clash between communities  ,No,No,No,No,,,,,No,,,,
52,5/14/2020,5/14/2020,0,News media article,http://jkhome.nic.in/51(TSTS)of2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Kulgam, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during security forces operation.,http://jkhome.nic.in/51(TSTS)of2020.pdf,Political instability,Security forces operation,No,Yes,Unknown,No,,Yes,The Inspector general office of the Kashmir zone issued a shut down order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal secretary of Government. ,,No,,,,
53,5/18/2020,5/18/2020,0,CSO KIO partners,,Asia ,Pakistan,,Level 3,,Unknown,,Shutdown,"Broadband, Mobile",Service-based,No,Yes,No,No,No,,No,No,"Pakistan: Jazz (Global Telecom), Pakistan: PTCL, Pakistan: Qubee (Augere), Pakistan: Special Communications Organization, Pakistan: Telenor, Pakistan: Wateen Telecom (Abu Dhabi), Pakistan: wi-tribe, Pakistan: Zong (China Mobile)",No,Unknown,,,Unknown,,No,No,No,No,,,,,No,,,,
54,5/18/2020,5/22/2020,4,News media article,https://theprint.in/india/internet-services-snapped-in-srinagar-after-crpf-jawan-cop-injured-in-encounter/424671/; https://indianexpress.com/article/india/kashmir-srinagar-encounter-militants-crpf-police-mobile-internet-live-updates-6416582/,Asia ,India,Jammu and Kashmir,Level 1,Srinagar in Jammu and Kashmir,Unknown,,Shutdown,Mobile,Full network,No,No,No,No,No,,Yes,Yes,,Yes,Precautionary measure,"""The official said mobile internet and mobile telephony services, except on BSNL postpaid, have been snapped in the city as a precautionary measure.""",,Political instability,Security forces operations,No,Yes,Unknown,No,,Unknown,,,,,,,
55,5/19/2020,5/20/2020,1,Other,http://jkhome.nic.in/54(TSTS)of2020.pdf,Asia ,India,Jammu and Kashmir,Level 1,"Pulwama district, in Jammu and Kashmir",Local government,"Inspector General of Police, Kashmir zone",Shutdown,Mobile,Full network,No,No,No,No,No,,No,No,,Yes,Precautionary measure,Prevent a law and order situation during and after security forces operation.,http://jkhome.nic.in/54(TSTS)of2020.pdf,Political instability,security forces operation,No,Yes,Unknown,No,,Yes,Yes. The Inspector general office of the Kashmir zone issued a shutdown order to prevent mobilization and a law and order situation during security forces operation. The order was later confirmed by the Principal Secretary of Government. Order - 54(TSTS) of 2020.,,Unknown,,,,
