age,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
39,0,0,no,419,yes,no,0,186,1,181,1,0,no
42,1,2,no,14282,yes,no,0,77,1,103,4,1,no
56,1,1,no,1270,yes,no,0,80,2,165,2,2,no
44,1,1,no,4826,yes,no,0,102,1,185,4,2,no
42,1,1,no,1048,yes,no,0,71,1,186,1,0,no
41,1,1,no,112,yes,no,0,1081,1,131,1,0,no
51,1,1,no,563,yes,no,0,504,1,123,3,0,no
36,1,1,no,1797,yes,yes,0,166,1,181,2,0,no
52,1,2,no,3440,yes,no,0,124,1,131,1,0,no
42,1,2,no,373,no,no,0,174,1,154,3,0,no
45,1,1,no,2020,yes,no,0,62,1,131,1,0,no
35,1,1,no,24,yes,no,0,128,1,181,1,0,no
38,1,2,no,425,yes,no,0,240,1,181,1,0,no
47,1,1,no,80,no,yes,0,74,1,145,1,0,no
43,1,1,no,634,yes,no,0,65,1,131,1,0,no
33,1,1,no,0,yes,no,0,809,3,181,1,2,no
40,0,1,no,677,yes,no,0,619,1,171,5,2,no
54,1,1,no,899,no,yes,0,61,1,145,1,2,no
50,1,2,no,830,no,no,0,71,1,138,2,0,no
54,1,1,no,2719,yes,no,0,166,2,171,2,0,no
44,1,1,no,0,yes,no,0,58,1,195,2,0,no
43,2,1,no,-259,no,no,0,732,1,171,2,2,no
51,1,2,no,248,yes,yes,0,139,2,126,3,0,no
51,1,1,no,12061,yes,no,0,150,1,188,1,0,no
42,0,1,no,-15,no,no,0,89,1,145,1,0,no
46,2,1,no,0,no,no,0,407,1,150,3,1,no
50,1,2,no,4,no,no,0,223,1,96,2,0,no
44,1,2,no,1451,yes,no,0,157,3,150,12,0,no
41,1,0,no,557,yes,no,0,158,1,173,1,0,no
37,0,2,no,600,yes,no,0,116,2,196,1,0,no
53,1,1,no,350,no,yes,0,113,3,132,2,0,no
53,1,1,no,248,no,yes,0,99,1,126,3,0,no
52,1,1,no,1818,no,yes,0,189,2,111,4,0,no
36,2,2,no,3837,yes,no,0,184,1,193,1,1,no
37,1,2,no,0,yes,no,0,65,2,119,1,0,no
44,1,2,no,58,yes,no,0,48,1,126,3,0,no
59,2,2,no,3552,yes,no,0,690,1,123,7,2,no
32,1,1,no,0,yes,yes,0,159,2,195,2,0,no
41,1,2,no,20,yes,no,0,99,1,151,2,0,no
37,1,1,yes,-954,yes,no,0,69,1,180,3,0,no
43,1,0,no,0,no,yes,0,836,1,129,2,0,no
51,1,0,no,230,yes,no,0,174,1,195,1,0,no
56,1,2,no,505,yes,yes,0,171,1,172,2,0,no
44,1,1,no,3843,yes,no,0,70,1,150,2,2,no
56,0,0,no,109,no,yes,1,124,1,129,18,2,no
39,1,2,no,5,yes,no,0,118,2,131,1,2,no
38,1,1,no,821,yes,yes,0,224,2,180,1,0,no
42,1,0,no,275,no,no,0,295,2,109,9,0,no
34,0,2,no,1049,yes,no,0,101,2,129,1,0,no
38,1,0,no,0,yes,no,0,78,2,193,2,0,no
53,1,2,no,2269,no,no,0,1091,2,150,1,1,yes
41,1,1,no,271,yes,no,0,148,2,172,2,0,no
48,2,2,no,-478,yes,no,0,87,5,167,6,0,no
54,1,2,no,3795,yes,yes,0,227,2,119,1,0,no
55,1,1,no,653,yes,no,0,193,2,186,1,0,no
38,0,1,no,1255,yes,no,0,151,2,171,2,0,no
50,2,1,no,-403,no,yes,0,130,2,119,2,0,no
42,1,0,no,2636,no,no,0,178,2,151,1,0,no
40,1,1,no,1029,yes,yes,0,117,2,117,3,0,no
38,1,1,no,0,no,no,1,599,2,158,8,2,no
57,1,1,no,1502,no,no,1,340,2,109,11,0,no
30,0,1,no,426,yes,no,1,127,4,111,6,0,no
56,0,1,no,237,yes,no,1,117,3,131,4,0,no
39,1,1,no,8,no,yes,0,333,2,96,2,0,no
43,2,1,no,1043,yes,no,0,57,4,119,3,0,no
42,1,1,no,1027,yes,no,1,188,2,168,2,0,no
44,1,2,no,724,yes,no,0,157,2,172,1,0,no
36,1,1,no,0,yes,no,0,273,2,131,1,0,no
40,1,1,no,219,yes,no,0,204,2,196,1,0,no
43,1,2,no,2767,yes,no,0,374,1,186,7,0,no
40,1,1,no,1269,yes,no,0,353,1,172,1,0,no
56,1,1,no,1150,no,yes,0,107,1,117,3,0,no
37,1,1,no,5115,yes,no,0,1210,2,171,4,0,yes
56,0,2,no,1092,yes,yes,0,176,3,186,4,0,no
37,1,1,no,121,no,yes,0,211,2,151,2,0,no
58,2,1,no,644,no,yes,0,220,4,109,4,0,no
45,1,1,no,781,no,yes,0,652,2,126,2,0,yes
50,1,1,no,0,yes,no,0,114,4,168,2,0,no
46,1,1,no,4958,yes,no,0,64,3,150,5,2,no
35,2,1,no,204,yes,no,0,295,1,186,9,2,no
40,1,1,no,755,no,no,0,408,1,117,1,0,no
43,1,2,no,1201,yes,yes,0,82,1,97,3,0,no
40,1,2,no,3059,yes,yes,0,41,1,182,1,0,no
36,1,0,no,4324,yes,no,0,139,4,127,4,0,no
44,1,2,no,756,yes,no,0,65,1,130,2,0,no
37,1,1,no,723,yes,no,0,119,1,110,2,0,no
37,1,1,no,195,yes,no,0,68,1,194,2,0,no
41,1,1,no,3275,yes,no,0,121,1,168,1,2,no
42,1,2,no,2249,yes,no,1,228,1,125,5,0,no
53,1,1,no,137,no,yes,0,52,1,176,1,0,no
44,1,1,no,10888,yes,no,0,67,1,105,1,0,no
41,1,1,no,4320,yes,no,0,164,1,166,2,0,no
41,1,0,no,1461,yes,no,0,290,1,165,2,1,no
48,1,1,no,4415,yes,no,0,271,1,102,6,0,no
58,1,2,no,9339,yes,no,1,52,3,172,3,2,no
56,1,1,no,589,yes,no,0,208,1,26,3,1,no
34,1,1,no,559,yes,no,1,47,1,193,1,2,no
39,0,2,no,283,yes,no,0,346,1,179,3,2,no
36,1,1,no,154,yes,no,0,231,1,96,2,2,no
47,2,2,no,428,yes,no,0,116,1,167,1,2,no
42,0,1,no,-247,yes,yes,0,104,2,28,2,1,no
37,1,1,no,0,yes,no,0,173,1,179,6,0,no
35,0,1,no,5260,yes,no,0,59,1,182,2,0,no
33,0,1,no,1769,yes,no,0,273,1,182,1,0,no
46,1,2,no,4301,yes,yes,0,50,1,183,2,0,no
46,1,1,no,68,yes,yes,0,111,2,155,3,0,no
36,2,1,no,454,yes,no,0,165,1,131,1,0,no
32,0,1,no,53,yes,no,0,276,1,195,1,0,no
38,0,2,no,1515,yes,no,0,134,1,110,5,0,no
37,0,2,no,561,no,no,0,188,1,165,2,0,no
59,1,1,no,2429,no,yes,0,79,2,182,7,0,no
40,2,1,no,1155,no,yes,0,175,1,138,1,0,no
59,1,0,no,14,yes,yes,0,319,2,182,1,0,no
36,0,2,no,0,no,yes,0,300,1,96,4,0,no
51,1,0,no,1194,yes,no,0,714,1,186,3,0,no
45,0,1,no,91,no,yes,0,149,1,127,2,0,no
38,0,2,no,427,yes,no,0,253,1,182,1,0,no
42,1,1,no,1958,yes,no,0,129,1,172,3,0,no
30,0,2,no,3,yes,no,0,54,1,195,1,0,no
51,1,2,no,146,no,no,0,150,2,126,3,0,no
37,1,2,no,3770,yes,no,0,106,1,110,4,0,no
41,1,1,no,446,yes,no,0,296,1,186,1,1,no
33,2,1,no,661,yes,no,0,411,1,173,2,2,no
30,0,1,no,4787,yes,no,0,266,1,167,2,0,no
36,1,1,no,1345,yes,no,0,82,1,172,3,0,no
58,1,2,no,0,yes,no,0,265,1,188,1,0,no
42,1,0,no,2273,yes,no,0,253,1,112,2,0,no
41,1,1,no,1100,yes,no,0,397,1,173,2,0,no
43,1,1,no,764,yes,no,0,164,5,127,5,0,no
34,0,2,no,1494,yes,no,0,596,1,182,1,2,yes
48,1,1,no,2877,yes,no,0,77,1,168,1,0,no
30,0,1,yes,-305,no,yes,0,37,1,96,6,0,no
31,1,2,no,26,no,yes,0,419,1,127,6,2,yes
43,0,1,yes,685,yes,no,0,78,1,110,2,0,no
34,0,1,no,10,no,yes,0,162,1,173,3,0,no
35,1,2,no,1041,no,no,0,586,1,120,3,2,no
36,0,1,no,1927,yes,no,0,288,1,137,1,2,no
44,1,0,no,1880,yes,no,0,34,1,124,6,0,no
45,2,1,no,5862,yes,no,0,352,1,110,3,2,no
36,1,2,no,0,yes,no,0,103,1,175,2,0,no
33,1,1,no,596,yes,no,0,77,1,127,3,0,no
47,1,1,no,829,yes,yes,0,48,1,188,1,0,no
47,1,1,no,3237,yes,no,0,38,1,187,3,0,no
35,1,1,no,222,yes,no,0,233,1,190,6,0,no
39,1,1,no,3732,yes,no,0,515,1,181,2,0,no
39,1,2,no,585,yes,no,0,48,1,181,3,0,no
31,0,1,no,2038,yes,no,0,239,1,182,1,0,no
37,0,2,no,1316,yes,no,0,389,1,172,2,0,no
50,1,1,no,-353,yes,yes,0,162,1,175,2,0,no
39,2,2,no,5009,yes,no,0,255,1,126,2,0,no
56,2,1,no,0,no,no,0,100,1,154,2,0,no
30,2,1,no,83,yes,yes,0,118,2,196,1,0,no
45,1,0,no,147,yes,no,0,226,1,168,2,0,no
33,1,1,no,157,yes,no,0,110,1,182,1,0,no
45,1,1,no,3395,yes,no,0,92,1,188,1,0,no
39,1,0,no,694,yes,yes,0,91,1,168,2,2,no
37,0,1,no,690,yes,no,0,105,1,179,2,0,no
37,0,1,no,54,yes,no,0,328,2,131,1,0,no
33,0,2,no,179,yes,no,0,432,2,181,4,2,no
40,0,1,no,326,yes,no,0,124,1,175,1,0,no
45,1,1,no,1441,yes,no,0,93,1,113,2,2,no
39,1,1,no,484,no,yes,0,61,1,113,3,2,no
38,1,1,no,-288,yes,yes,0,68,1,165,2,0,no
41,1,1,no,2123,no,no,0,232,1,102,2,0,no
44,1,1,no,1901,no,no,0,143,3,104,2,0,no
41,1,1,no,1954,no,no,0,65,1,110,2,1,no
45,0,2,no,16,no,no,0,100,1,110,2,0,no
34,2,2,no,5754,yes,no,0,32,1,181,1,0,no
52,2,1,no,2717,no,no,1,114,1,162,2,0,no
43,0,0,no,103,yes,no,0,53,1,183,5,0,no
37,1,0,no,5427,no,no,0,201,1,159,1,0,no
37,0,2,no,1743,yes,no,0,192,1,113,2,0,no
48,1,0,no,1092,no,yes,0,79,1,172,8,0,no
35,1,2,no,4943,yes,no,0,295,1,124,2,0,no
42,1,2,no,2110,no,yes,0,67,1,110,2,0,no
34,1,2,no,63,no,no,0,83,1,102,2,0,no
32,0,1,no,118,yes,no,0,216,1,124,1,1,no
50,0,2,no,21,yes,no,0,157,1,188,1,0,no
30,1,2,no,900,no,no,0,123,1,124,2,0,no
32,1,1,no,1785,yes,no,0,51,2,154,6,2,no
55,1,1,no,3546,yes,yes,0,588,1,110,2,0,no
32,1,2,no,1667,yes,no,0,164,2,179,3,0,no
32,0,1,no,2251,yes,yes,0,131,1,124,1,0,no
31,0,1,no,2076,no,yes,0,178,1,127,7,2,no
46,0,0,no,3046,yes,yes,0,84,1,183,1,2,no
44,1,1,no,533,yes,no,0,127,1,110,2,0,no
36,1,1,no,2894,yes,no,0,91,1,124,1,0,no
34,1,2,no,11,yes,no,0,123,1,124,1,0,no
32,1,2,no,3107,yes,yes,0,165,2,116,1,0,no
48,1,1,no,3008,yes,yes,0,163,1,187,3,0,no
48,0,2,no,648,yes,no,0,290,1,110,2,0,no
39,1,1,no,173,yes,no,0,96,2,182,2,0,no
47,0,1,no,19,yes,yes,0,90,2,123,1,0,no
52,1,2,no,297,yes,no,0,62,2,195,1,0,no
59,2,1,no,797,yes,no,0,319,2,165,2,0,no
36,0,1,no,1482,yes,no,0,177,2,174,1,2,no
38,1,2,no,678,no,yes,0,82,2,152,1,0,no
54,1,1,no,506,yes,no,0,172,2,104,2,0,no
51,1,2,no,-516,yes,no,0,120,2,187,2,0,no
44,0,2,no,1356,no,yes,0,264,2,134,2,2,no
47,1,0,no,1533,no,yes,0,273,2,96,4,0,no
34,1,0,no,500,yes,no,0,240,2,182,1,0,no
54,1,1,no,3729,no,yes,0,597,2,116,1,2,no
30,1,1,no,246,yes,no,0,166,2,113,5,0,no
43,0,2,no,-56,yes,no,0,146,2,151,14,0,no
52,1,1,no,2257,yes,no,1,102,2,188,1,0,no
36,1,1,no,402,no,yes,0,86,2,154,1,0,no
39,1,1,no,517,yes,no,0,387,3,196,2,0,no
32,0,2,no,0,yes,no,0,244,2,168,1,2,no
46,1,2,no,0,no,no,0,716,2,110,3,2,yes
45,0,2,no,5694,yes,no,0,145,2,193,2,0,no
54,1,2,no,368,no,no,0,74,2,110,4,0,no
41,1,1,no,-1882,yes,no,0,17,5,151,2,2,no
36,0,1,no,296,no,no,0,67,2,111,2,0,no
38,1,1,no,508,yes,no,0,722,3,175,2,0,no
36,0,0,no,2169,yes,no,0,133,2,110,3,2,no
44,1,1,no,2626,yes,no,0,170,2,188,3,0,no
59,1,0,no,124,yes,no,0,531,3,134,7,0,no
36,1,2,no,521,no,yes,0,135,2,152,1,2,no
40,0,1,no,2854,yes,no,0,354,2,169,1,0,no
30,2,1,no,0,yes,yes,0,174,2,111,3,0,no
34,1,1,no,932,no,yes,0,148,2,132,1,2,no
42,0,2,no,1113,yes,yes,0,89,2,162,12,0,no
33,1,2,no,1522,yes,no,0,171,2,179,3,0,no
44,1,1,no,-236,yes,no,0,218,2,113,7,1,no
36,0,2,no,3560,no,no,0,658,3,169,2,0,no
42,2,1,no,898,yes,no,0,136,2,131,1,0,no
36,2,1,no,556,yes,no,0,154,3,189,1,0,no
53,1,1,no,1066,yes,no,0,110,1,186,3,0,no
38,1,1,no,728,yes,no,0,286,1,181,2,2,no
52,1,2,no,5350,yes,yes,0,68,2,110,4,1,no
40,1,1,no,7313,yes,no,0,241,2,182,1,0,no
30,0,2,no,0,yes,no,0,342,2,174,1,0,no
45,1,1,no,1550,yes,no,0,143,2,166,6,0,no
38,1,1,no,4392,no,no,0,23,2,110,2,0,no
47,2,0,no,1095,yes,no,0,171,1,110,2,2,no
33,1,1,no,328,yes,no,0,160,2,182,1,0,no
41,2,0,no,22,yes,no,0,238,3,126,4,2,no
51,1,2,no,1612,yes,no,0,61,2,131,1,0,no
33,1,2,no,17455,yes,yes,0,168,3,179,4,0,no
32,1,1,no,491,yes,no,0,131,3,194,2,0,no
47,1,1,no,826,yes,no,1,195,3,112,8,2,no
32,1,1,no,3839,yes,no,0,100,2,189,1,0,no
51,2,2,no,1937,yes,no,0,185,4,152,11,2,no
40,0,1,no,9916,no,no,0,411,3,8,1,0,no
56,1,1,no,728,no,no,0,163,2,110,15,0,no
32,1,1,no,6217,yes,yes,0,486,2,181,2,0,no
41,1,1,no,1327,yes,yes,0,425,2,176,2,0,no
36,1,1,no,-179,yes,no,0,476,2,124,1,0,no
46,1,1,no,942,no,no,0,240,3,119,2,0,no
34,1,1,no,3990,yes,no,0,591,2,117,7,0,no
34,0,2,no,2047,yes,no,0,72,2,113,5,0,no
44,2,1,no,-184,yes,no,0,825,2,154,3,2,no
30,1,2,no,1185,yes,no,0,342,2,120,4,0,no
30,0,1,no,2802,no,yes,1,285,2,137,2,0,no
43,1,1,no,508,yes,no,0,200,1,172,1,0,no
51,0,2,no,6030,yes,no,0,157,2,110,3,0,no
45,2,1,no,-14,no,no,0,39,2,127,3,0,no
46,2,2,no,6269,yes,no,1,249,3,112,2,0,no
30,1,1,no,1131,yes,yes,0,189,1,144,5,0,no
40,2,1,no,399,yes,yes,0,166,3,96,2,0,no
46,2,1,no,864,yes,no,0,105,5,188,2,0,no
49,1,2,no,202,yes,no,0,139,1,166,3,2,no
31,0,2,no,3142,yes,no,0,235,1,123,1,0,no
53,1,1,no,1139,yes,no,0,180,1,186,6,0,no
48,1,0,no,214,yes,yes,0,246,1,162,1,0,no
34,1,1,no,1412,yes,yes,0,149,1,175,2,0,no
35,1,1,no,2019,yes,yes,0,83,2,144,1,0,no
52,1,2,no,1295,yes,no,0,121,1,123,1,2,no
31,1,2,no,1164,yes,yes,0,141,2,123,3,0,no
36,1,2,no,369,no,no,0,193,4,102,2,0,no
45,1,1,no,17,yes,no,0,66,1,152,14,0,no
31,1,1,no,355,yes,no,0,530,1,193,1,0,no
35,1,1,no,66,yes,no,0,110,1,123,1,2,no
51,1,0,no,106,yes,no,1,366,3,110,2,0,no
56,1,2,no,839,no,yes,0,630,1,187,2,2,no
43,1,1,no,481,yes,no,1,164,1,110,2,2,no
30,1,1,no,-306,yes,yes,0,372,1,186,1,0,no
44,1,1,no,1106,yes,no,1,178,5,119,11,0,no
41,1,2,no,171,yes,no,0,209,1,191,4,0,no
58,1,2,no,8014,yes,no,0,697,2,184,3,0,no
55,2,1,no,4053,no,no,0,113,1,166,2,0,no
32,0,2,no,1583,yes,no,0,100,1,182,1,0,no
42,1,2,no,412,yes,no,1,142,4,169,5,0,no
30,1,2,no,314,no,no,0,364,2,175,2,1,no
37,1,1,no,7957,no,no,0,706,1,111,2,0,no
39,0,1,no,4278,yes,no,0,43,1,111,2,2,no
32,2,1,no,1156,yes,no,0,81,1,182,1,0,no
39,0,2,no,1682,yes,no,0,147,1,170,1,0,no
31,0,2,no,3625,yes,no,0,112,1,180,2,0,no
32,0,1,no,1721,yes,no,0,184,2,182,2,0,no
45,1,1,no,38,yes,no,0,159,1,188,2,0,no
33,0,2,no,541,yes,yes,0,140,1,182,1,0,no
30,0,2,no,54,yes,yes,0,192,1,177,3,0,no
31,1,2,no,4924,yes,no,0,316,1,182,2,0,no
54,1,2,no,6525,yes,no,0,133,1,170,3,0,no
33,1,2,no,3696,no,no,0,305,1,182,3,0,no
48,1,1,no,1811,yes,no,1,137,4,111,3,0,no
33,1,2,no,0,yes,no,0,295,1,170,1,0,no
31,0,1,no,-366,yes,no,0,313,1,180,1,2,no
32,1,1,no,2089,yes,no,0,192,1,5,1,1,no
40,1,2,no,12409,yes,no,0,140,1,99,2,0,no
52,1,1,no,424,no,no,0,143,1,154,3,0,no
31,0,1,no,1186,yes,no,0,174,1,180,1,0,no
35,1,2,no,2801,yes,no,0,70,2,111,2,0,no
32,0,2,no,2667,yes,no,0,197,1,99,2,1,no
30,0,1,no,382,yes,no,0,369,1,191,1,0,no
31,1,0,no,4728,yes,no,0,114,1,183,3,2,no
32,1,2,no,964,yes,no,0,130,1,120,2,0,no
36,1,1,no,189,yes,no,0,136,1,120,1,0,no
40,1,1,no,961,no,yes,0,589,1,133,4,2,no
52,1,1,no,-201,no,yes,0,905,1,133,2,0,no
45,2,1,no,644,yes,no,0,418,1,168,1,1,yes
37,0,1,no,50,no,no,0,244,1,154,8,2,no
36,0,2,no,649,no,no,0,224,1,111,1,2,no
43,1,2,no,13044,no,no,0,215,1,93,4,0,no
35,2,2,no,771,yes,yes,0,110,1,93,5,0,no
30,1,2,no,86,yes,yes,0,155,1,97,2,2,no
39,1,1,no,3494,yes,no,0,139,1,92,4,0,no
37,1,2,no,804,yes,no,0,94,1,170,1,2,no
49,1,2,no,6613,no,no,0,106,1,155,3,0,no
30,2,1,no,4591,yes,no,0,89,1,175,1,2,no
34,1,1,no,360,yes,no,1,46,1,182,2,0,no
33,1,1,no,1234,no,no,0,109,1,10,1,0,no
45,2,1,no,1309,yes,no,0,298,1,170,2,0,no
30,0,2,no,234,yes,no,0,206,1,169,2,0,no
32,0,2,no,1611,yes,no,0,175,1,180,2,0,no
31,1,1,no,1570,yes,yes,0,133,2,180,1,2,no
40,1,2,no,2977,yes,no,0,375,1,125,1,0,no
46,1,1,no,15,yes,yes,0,46,2,91,3,0,no
30,0,1,yes,447,no,no,0,426,2,189,6,0,no
34,1,0,no,2490,yes,no,0,185,2,180,1,0,no
46,1,2,no,2421,no,no,0,1084,1,100,4,0,yes
40,1,0,no,4608,yes,no,1,111,2,156,1,0,no
53,1,2,no,1452,no,yes,0,442,2,113,3,0,no
46,2,1,no,-26,yes,yes,0,201,1,113,2,2,no
38,1,1,no,4030,yes,no,0,75,2,177,5,0,no
43,1,2,no,1429,yes,no,0,1015,1,198,2,2,yes
32,2,1,no,18,no,no,1,20,1,177,1,0,no
40,1,1,no,260,no,no,0,52,1,152,6,0,no
35,0,2,no,538,yes,yes,0,308,1,195,9,0,no
32,1,1,no,524,no,no,0,100,1,106,1,0,no
33,1,2,no,-103,yes,no,0,149,2,175,1,0,no
33,0,2,no,201,yes,no,0,171,1,183,1,0,no
39,1,1,no,1444,no,no,0,100,1,117,8,1,no
46,1,1,no,9347,yes,no,0,138,1,117,1,2,no
44,1,0,no,1161,yes,no,0,402,1,184,5,0,no
59,1,0,no,935,yes,no,0,103,3,166,2,0,no
45,0,1,no,142,no,yes,0,258,1,105,4,0,no
37,1,1,no,1165,yes,no,0,62,3,190,4,1,no
58,2,0,no,8218,yes,no,0,141,2,111,10,0,no
33,0,2,no,149,yes,no,0,424,2,182,1,2,yes
42,1,1,no,3211,no,no,0,87,2,111,1,0,no
50,1,1,no,3149,yes,no,0,69,1,190,1,2,no
41,0,1,no,2184,no,no,0,98,1,153,2,0,no
40,1,1,no,0,yes,no,0,332,1,183,1,0,no
43,2,1,no,6835,no,no,0,187,1,152,2,0,no
44,0,1,no,1195,yes,no,0,187,6,188,9,0,no
58,1,0,no,630,yes,no,0,59,1,174,1,0,no
43,1,2,no,1993,no,no,0,37,1,174,1,0,no
58,1,1,no,590,no,yes,0,136,1,167,1,0,no
39,1,1,no,6012,no,no,1,140,1,119,2,0,no
51,1,0,no,863,no,no,0,169,1,189,2,2,no
52,1,1,no,7225,no,no,0,205,2,113,2,0,no
54,2,2,no,1323,no,no,0,83,1,152,4,0,no
41,1,1,no,1011,yes,no,0,113,1,174,4,2,no
53,1,1,no,2818,yes,no,0,131,1,126,7,0,no
50,2,1,no,203,yes,no,1,265,1,127,4,2,no
48,1,1,no,-202,yes,yes,0,565,1,112,4,0,no
59,1,1,no,32948,no,no,0,243,1,174,2,0,no
33,1,1,no,2,yes,yes,0,17,5,198,1,0,no
44,2,2,no,2279,no,yes,0,105,1,146,1,0,no
52,2,0,no,3990,no,no,0,1548,1,153,1,2,no
47,2,1,no,1939,yes,no,0,150,1,174,1,0,no
39,1,1,no,763,no,no,0,360,1,153,2,2,no
32,1,2,no,432,yes,no,0,164,2,195,1,2,no
45,1,1,no,2926,yes,yes,0,482,3,120,2,0,no
42,1,2,no,783,yes,no,0,77,2,128,3,0,no
30,1,0,no,1101,yes,yes,0,779,2,175,1,0,no
59,1,1,no,2291,no,yes,0,190,1,128,3,0,no
46,1,0,no,8873,yes,no,0,172,1,118,2,0,no
40,1,1,no,657,yes,no,0,178,1,112,2,0,no
37,1,0,no,253,yes,no,0,59,2,153,2,0,no
33,1,2,no,6138,yes,no,0,384,1,183,1,0,no
55,1,1,no,3948,no,no,0,149,1,170,2,0,no
46,2,1,no,3354,yes,no,0,522,1,174,1,1,yes
45,1,1,no,830,no,no,0,180,1,111,2,0,no
33,0,1,no,4,yes,no,0,136,2,180,2,0,no
47,1,1,no,351,yes,yes,0,174,1,174,1,0,no
35,1,1,no,86,no,no,0,127,1,111,2,0,no
40,1,1,no,4853,no,no,0,259,1,111,2,0,no
38,0,1,no,884,yes,yes,0,295,1,111,2,0,no
59,1,0,no,741,no,no,0,194,2,152,2,0,no
34,1,2,no,4958,yes,no,0,175,1,183,1,0,no
46,0,2,no,1410,yes,no,0,93,1,189,8,0,no
36,1,2,no,16430,yes,no,0,234,1,166,3,0,no
38,1,0,no,190,yes,no,1,623,1,175,1,2,yes
52,2,1,no,1291,yes,no,0,559,1,169,2,0,no
30,1,1,no,946,yes,no,0,1065,1,183,1,2,no
57,1,1,no,5935,yes,yes,0,90,2,198,1,0,no
35,1,1,no,3187,yes,no,0,171,2,183,1,0,no
59,1,0,no,2769,yes,no,0,104,1,131,2,0,no
33,1,0,no,3512,yes,no,0,251,1,183,2,0,no
56,1,0,no,444,yes,no,0,88,1,166,1,0,no
38,1,2,no,5432,yes,yes,0,408,1,183,1,0,no
40,1,1,no,67,no,yes,0,359,2,152,5,0,no
37,1,0,no,3574,yes,no,0,178,1,170,2,0,no
36,0,2,no,2622,no,no,0,640,1,127,5,0,no
50,1,1,no,2910,no,no,1,433,1,113,1,0,no
38,1,0,no,2240,yes,no,0,551,1,183,1,0,no
55,1,1,no,4733,yes,no,0,70,1,174,2,2,no
37,1,1,no,5902,yes,no,0,191,1,180,4,0,no
34,1,2,no,899,yes,no,1,377,3,7,4,1,no
